reviewText,subjectivity,enhanced_subjectivity
"Started with the DIY coat hanger antenna and it worked well, just wasn't pulling in everything (wouldn't think a half mile would make such a difference in where TV stations were broadcasting from).",0.0,0.0
Would recommend to a friend.,0.0,0.0
The key to these is snipping only the very tip of your cats nail before gluing.,1.0,1.0
I bought two and have no regrets.,0.0,0.0
Microwave has nothing.,0.0,0.0
NVR client is only supported on older versions of IE up to ver 10.,1.0,1.0
The holes are non-functional -- they clearly purchased sleeves designed for ring-type CD cases.,0.0,0.0
"If you really want reliability, you buy new tubes.",0.0,0.0
That was a price that mattered to me.,0.0,0.0
I put them in my hiking bag to replace toilet paper.,0.0,0.0
Rally nice puppy shampoo.,1.0,1.0
Lands nicely!,1.0,1.0
The bullseyes are an added bonus for when you want to hone and measure accuracy.,0.0,0.0
I was impressed with the quality and the washability of the Apron.,1.0,1.0
I run a vmplayer with XP pro loaded so that I can run all my xp applications.,0.0,0.0
Expensive for the quality and size,1.0,1.0
It will be very useful when traveling and needing to charge things and use a plugin.,0.0,0.0
The material is breathable water resistant and stretches making it perfect for all of the cool weather activities I do.,1.0,1.0
My knife was incredibly sharp on arrival.,1.0,1.0
I called the company before the purchase to be sure that the mount would work for my particular application.,1.0,1.0
Arrows light up.,1.0,1.0
I cant tell you how much better my life is thanks to (Add Product Name Here) .,0.0,0.0
It sounded great.,1.0,1.0
Excellent quality for the price.,1.0,1.0
Great cork cage!...neat design,1.0,1.0
I am very satisfied with mine.,1.0,1.0
Excellent cellular shade.,1.0,1.0
The mouse is comfortable to use and decently priced.,1.0,1.0
"I finally got it to do 32-40 degrees, but it took a lot of adjustment, but you get what you pay for.",1.0,1.0
"For supervised use, car travel, these are perfect :)",1.0,1.0
fit perfectly,1.0,1.0
"Once he put those in we could practically hang from the mount, this thing wasn't going anywhere.",0.0,0.0
These seem to be as well made as those were.,0.0,0.0
"The last time I was in a disaster, this would've been useful.",0.0,0.0
"For any who also experience the HDMI dropouts, I recommend the two fixes mentioned.",0.0,0.0
I use these when I train her.,0.0,0.0
"If you are at all concerned about quality or function, you don't need to be.",0.0,0.0
Great when paired with an OTG cable for a smarthphone.,1.0,1.0
"THY where delivered  I thru them in dryer,  then covered her up  LOL ..",1.0,1.0
My granddaughter loves this towel.,0.0,0.0
I got this item with discount for giving a honest Review.,1.0,1.0
That is still very good.,1.0,1.0
The fans work well!,0.0,0.0
Balls were too big for the tball set.,0.0,0.0
nice book,1.0,1.0
"To explain my son's reaction, he is a very unusual kid, lead programmer on his school robotics team, a team which went to the FRC world championships after beating some pretty heavy duty competition (the Pacific region, which they won to get there includes China, Taiwan, Australia and Japan).",1.0,1.0
"lets see, my husband bought this he loves it and it does works as it claims to and when you shut it the ipad does go off so he is very happy with his purchase",1.0,1.0
My neighbor said he can't hear the fan and he sits about 5 feet away.,0.0,0.0
For the money this is a great deal.,1.0,1.0
"With good brakes, braking distance on ice or packed snow is actually less than braking distance with regular tires on dry pavement.",0.0,0.0
It also rusted a lot.,0.0,0.0
nice cup.,1.0,1.0
What a simple device.,0.0,0.0
"I would have given the unit a 4 star rating, but for this problem.",0.0,0.0
"Works amazingly well, never had an issue with fogging.",1.0,1.0
"Less important but still impressive, the packaging!",1.0,1.0
There are no sharp edges.,1.0,1.0
No need to purchase canned air.,0.0,0.0
Absolutely adorable!,1.0,1.0
"It does it's job, moves air quietly but the price is a bit much for the quality of the materials.",0.0,0.0
I am very pleased with it so far and I haven't had any issues with it.,1.0,1.0
Butt looks awesome in them.,1.0,1.0
"Of course, mind the polarity like it says in the description.",0.0,0.0
"I am happy with my purchase, and so are the other dog walkers, who inquired where to purchased it.",1.0,1.0
I plan to order at least two more for other gifts later.,0.0,0.0
"Don't put it in the dish washer, it's done for after one wash. That was just me being an idiot, no aluminum can go in the dish washer!",1.0,1.0
This candle set is fantastic.,1.0,1.0
"It'll keep ice for hours even out doors, and the steel never leaves a taste behind like a cheaper plastic bottle would.",1.0,1.0
Very happy.,1.0,1.0
I have rebuilt this marine toilet before using the same kit.,0.0,0.0
Great for Video chat with 720P HD camera.,1.0,1.0
Works great!,1.0,1.0
I was buying this in a gift shop and paying $50... here I think it was $33!,0.0,1.0
very satisfied,1.0,1.0
It's been weeks and I'm thinking this might be one of the best values out there.,0.0,0.0
Would recommend to a friend and seller sent the item on time!,0.0,0.0
I had 1 Wilton bag left so it was time to reorder.,0.0,0.0
I opened 1 1500 Ct. the other one I have.,0.0,0.0
"She loves eating greenies, and demands them when I exclude them from her dinner.",0.0,0.0
"Nice pedals, especially considering the price.",1.0,1.0
It didn't slide along the plastic bag and I tried several thicknesses of plastic bags before tossing this thing in the trash.,0.0,0.0
I wish the handles were a bit wider.,0.0,0.0
Just plug and play.,0.0,0.0
Wonderful product but it's difficult to open and close.,1.0,1.0
great cable and great connector.,1.0,1.0
Stunning silverware.,1.0,1.0
It's sterdy and light.,1.0,1.0
I did receive this great product at a discounted rate in exchange for my unbiased and honest review.,1.0,1.0
This one was good like all the others.,1.0,1.0
got it early and fun toy,0.0,0.0
Bought these to be used for my sons candy bar maker set and to eat a fun size candy bar made of this is just not tasty to us.,0.0,0.0
"i love that Item, looks nice",1.0,1.0
This Jacket keeps my dog Tiny (who doesn't seem to EVER get a winter coat) warm at night when it the temperature is only 30F.,1.0,1.0
"Versatile, easy, lightweight, doesn't hog a lot of counter space.",1.0,1.0
This has worked great on our 11 year old male cat.,0.0,0.0
"Not only are these measuring cups original and eye-catching, they are also pretty well made, with good materials and a pleasant finish.",1.0,1.0
"With a Chocolate Lab, a Cockapoo and a Bichon (who for some reason seem  to have to have a drink when in the car)  I know doggie door mess.",0.0,0.0
Just what I wanted!,0.0,0.0
This is perfect for small spaces!,1.0,1.0
"At least now I'm getting my two favorite stations, in stereo, without the multiplex hiss.",1.0,1.0
But for the price it really is great.,1.0,1.0
None of the dogs seemed to care at all that they were being sprayed.,0.0,0.0
It worked fine but was a pain to clean.,1.0,1.0
Don't mount it upside down.,0.0,0.0
Holding their color well!,0.0,0.0
It will really flatter your shape instead of looking bulky and won't hinder you while you walk or run.,0.0,0.0
as described,0.0,0.0
This juicer is the perfect item for people on the go.,1.0,1.0
"Don't now if the integrated screen protector will last as it is a part of the whole case, others cases don't cover the original screen.",,0.0
After a (very!),0.0,0.0
They're pretty large.,1.0,1.0
This product did not work with my Slingbox.,0.0,0.0
They are good quality and very nice.,1.0,1.0
I had to put another sleeping bag inside.,0.0,0.0
I'm TOTALLY satisfied with it!,1.0,1.0
"Foiled again in my quest for a reliable coffee maker that just MAKES COFFEE - no clock, no timer, no grinder - just pour water over the grounds and move on.",0.0,0.0
"You can control volume up (long press the forward button), volume down (long press the back button), forward through songs and play / pause songs as needed.",0.0,0.0
Everything was great....exactly what I ordered.,0.0,0.0
There is no other way to say it.,0.0,0.0
my grandson loves the puzzles especially interchangeable pieces between puzzles,1.0,1.0
also responded to my sony FM58 while on camera again as slave flash.,0.0,0.0
This is great!,1.0,1.0
Other than this point the case is awesome!,1.0,1.0
I will use the 3M yellow foam plugs next because that's what I used to use on the range.,0.0,0.0
So far so good,1.0,1.0
"I don't ever mind paying a little more if there is overall value added, but twice the money for a horizontal opening vs. a vertical one is wrong-minded marketing.",0.0,0.0
it works great with her hair.,1.0,1.0
I think this is an excellent product for the price.,1.0,1.0
This is a great pack.,1.0,1.0
It was a good deal....good product and holding up well,1.0,1.0
"I have had to deal with ich maybe only one other time, so I didn't have a quarantine tank set up for new fish.",1.0,1.0
Kindle works very well.,0.0,0.0
Laserbeak and Ratbat do this the best.,0.0,0.0
Great pans for baking.,1.0,1.0
The price of this need to be 20$ for the quality!,0.0,0.0
I also added a 2nd default gateway to the network config for the wifi so the raspberry's network wouldn't die if I plug/input Ethernet.,0.0,0.0
"Fairly priced from Amazon and well-made, this SpareHand rack will hold up to 4 kayaks, although it comes with hardware brackets for only two.",1.0,1.0
The slots work well for slicing cucumbers and carrots.,0.0,0.0
I use it for everything but the rifles.,0.0,0.0
"If you're as lost in the morning as I usually am, it'd a great machine to have on your side.",1.0,1.0
"The cover is not leather but it is really nice, especially for the price.",1.0,0.0
Too bad mounting hardware not included in the price.,1.0,1.0
Giving it 3 stars...but doesn't work with my Apple laptop.,0.0,0.0
It fits a lot of spices without taking up much counter space.,0.0,0.0
"very good lens for the money, I am happy.",1.0,1.0
"Have taken to removing the battery when not in use, which is stupid but suits me until I decide to spend money on a decent brand.",1.0,1.0
He said the worst case he has ever seen in his entire years of practicing was resolved after using Rescue Remedy for a short time.,1.0,1.0
I tried installing the latest firmware update but that didn't help.,1.0,1.0
So I was not disappointed.,1.0,1.0
"If I want to type any lengthy note, I have to fire up my old one in order to make any progress.",0.0,0.0
Rubber sleeves they have grip and hold it nicely on a slippery cheap faux finish wood table that is slippery as ice.,1.0,1.0
The difference is the powerful AC outlet.,1.0,1.0
"They are also lots of fun, provoking exclamations and excitement among kids and adults that we ride past.",0.0,0.0
I am really impressed with how easy this was to set up and start using.,1.0,1.0
It is soft and easy to clean.,1.0,1.0
You can turn and get into fiddly spots really easily.,1.0,1.0
The Gelledge case was a little difficult to get apart and I show that in my video but it also has a nice tight fit on the tablet.,1.0,1.0
It will introduce live bacteria to the tank to break down those poops and leftover food.,0.0,0.0
A good benefit of the grinder is that it is refillable unlike the pepper and salt grinder from McCormick that are useless after they are empty.,,0.0
This tool lives up to it's hype.,0.0,0.0
"Maybe I got a bad one, but this looks like a Quality Control problem to me, and I hope that no one else gets one like mine.",1.0,1.0
Easy to clean.,1.0,1.0
This cable did not produce acceptable video when connecting the HDMI output of an HP Pavilion 17 laptop to the DVI input of an HP ZR2740w monitor.,0.0,0.0
"For those that are absolutely anal about accuracy, borrow someone's GPS and use it to calibrate the wheel size setting.",1.0,1.0
Tried to use it a second time and the wires snapped !,0.0,0.0
I do like the lantern itself.,0.0,0.0
"Just my 1st experience with streaming,,,,  with this Roku,,,  think it will be easy to like!",1.0,1.0
Try Pyoderma on Amazon.,0.0,0.0
I wanted something longer than a regular spoon for mixing drinks in taller cups.,0.0,0.0
"I use these molds for essential oil wax melts, bath bombs, soaps, and lotion bars.",0.0,0.0
"Well if you've configured Lightroom or some other application to automatically launch and take you to the import screen when you insert a memory card, that functionality no longer works with cFast cards.",0.0,0.0
The color is nice.,1.0,1.0
It's not good for stealth when you go hunting.,1.0,1.0
I recommend this product.,0.0,0.0
"sometimes the mix doesn't come out right away but, so far so good.",1.0,1.0
This is the only adapter to date that I have found that allows my headset to interface with my computer.,1.0,1.0
Is our Steamfast defective?,0.0,0.0
I has a nice pocket to keep sun screen in.,1.0,1.0
"All in all these are amazing headphones with extraordinary comfort, sound, and quality that you would come to expect from Beyerdynamic.",1.0,1.0
Gave this as a gift.,0.0,0.0
Over time they rot from the heat until they crack and fall apart.,0.0,0.0
This is the only toy with stuffing that lasted longer than 24 hours with my crew.,1.0,1.0
With my flimsier mats I will bend them like a taco with one hand and scrape out the food.,0.0,0.0
"After 10 minutes, we both gave up.",0.0,0.0
Have purchased this filter for our water jug several times now.,0.0,0.0
Worked great,1.0,1.0
"Like many others I was lured by the prospect of masterful entertaining with shabu-shabu, Mongolian cooking, whatever.",1.0,1.0
Selecting the temperature is simple as pressing a button until the temp you want lights up.,0.0,0.0
nice simple kit,1.0,1.0
I received  a  discounted  sample  of  this  product  in  exchange  for  an  unbiased  and  honest  review.,1.0,1.0
I have nothing bad to say about case logic products and would recommend them to anyone.,1.0,1.0
But maybe you aren't as self-conscious as I am.,0.0,0.0
We use the head with the most holes for pepper and the one with less holes for salt.,0.0,0.0
"At the lowest setting the light lasts easily twice as long as before on a rechargable aaa, something like 8 hours of use.",1.0,1.0
Its adorable and my kids love it,1.0,1.0
Does not even begin to compare in quality to my old Tupperware butter keeper.,0.0,0.0
Great for prepping fruits and vegetables.,1.0,1.0
"We use it on our headboard so we aren't fighting over the remotes on either persons nightstand, works great and is quality material.",1.0,1.0
The grips work great.,1.0,1.0
"It would be unreasonable to compare it to, say, an apple, because they are so unsimilar.",0.0,0.0
That is what i needed.,0.0,0.0
Great cable.,1.0,1.0
Plastic parts and metal ring.,0.0,0.0
Try it for yourself!,0.0,0.0
"You can read other cars license plates, details of the street and even birds flying around.",0.0,0.0
nice flowers!,1.0,1.0
Both head tube and bottom bracket shell were faced and chased so install was quick and pain free.,1.0,1.0
Really loud!,1.0,1.0
Anything else is good.,1.0,1.0
great product will buy these again after I shank these into the woods.,1.0,1.0
Total time to change out my Macbook Pro's memory was 10 minutes.,1.0,1.0
The curtain is not reinforced around the magnets and around the holes for the hangers.,0.0,0.0
These are a fabulous pair of shorts and quite comfortable.,1.0,1.0
"Bought this for my granddaughter for Christmas,  she really really wanted it,  loves it,  and does things I didn't even know it did.",0.0,0.0
Very happy with my purchase!,1.0,1.0
Amazing customer service.,1.0,1.0
Now just need to get the community fish one.,0.0,0.0
"Thank you Catit, and my wonderful human servants for finally bestowing upon me the estate of evacuation that I so rightfully deserve.",1.0,1.0
I still don't know why.,0.0,0.0
"Metal has a bit of an odd feel to it, but I got used to it.",0.0,0.0
They will out last the bow.,0.0,0.0
Have not experienced any of the scope problems others have talked about.,1.0,1.0
"Cloud based, limited ram and storage but that is fine for students using clouds I would think.. screen resolution is bad but again... $100... Has a old fashion trackpad without scrolling so i recommend a external mouse or track pad if you prefer.",0.0,0.0
My husband noticed and he thinks it's cool.,1.0,1.0
Obviously for this price no digital drive but then again macs stopped making those years ago.,0.0,0.0
Nothing wrong with it.,1.0,1.0
"We like the way the pendulum moves back and forth, and so does our cat who has not knocked it over -- but loves to watch it as entertainment.",0.0,0.0
Looks nice on our table.,1.0,1.0
"Small, lightweight tool that allows me to change out or clean the crank and bottom bracket, which would otherwise have to be done at a bike shop for stupid amounts of money.",1.0,1.0
"It held tightly when closed, and the cakes have turned out great.",0.0,0.0
The 1 1/2 qt covered casserole is perfect for my husband and me.,1.0,1.0
PERFECT FIT!,1.0,1.0
I find them very soft and comfortable.,1.0,1.0
I've sold and given away 300 or so.,0.0,0.0
I think it's just a bit pricey .,0.0,1.0
"Hydrology(tm)
Flat Seam Stitching
Unlined
ASICS Atomic Wash
A wear and durability standard established by ASICS for each and every apparel and accessories product we produce.",0.0,0.0
"Funny thing is, I also have a few Safari Ltd dinosaur figurines nearby, but he totally ignores those!",1.0,1.0
"I thought Android 4.2 would feel like a step down from 5.0 but  the truth is, security updates aside, the format is a little easier to use for some functions and actually seems like an imrovement in some ways.",0.0,0.0
Everything is the same except for the battery compartment on the inside nose bridge area.,0.0,0.0
I often buy spices loose from bins because it is usually much cheaper.,0.0,0.0
She has used it twice and it works well so far.,1.0,1.0
"If you never need this settings, it is a very good, reliable and quiet grinder.",,0.0
Very attractive design.,1.0,1.0
I thing this is good !,1.0,1.0
"At 28 inches from end to end, you will need to find a special place to store it, otherwise, this Culina 14  16 Pizza Peel is perfect.",1.0,1.0
It barely fits my canon 7d with 16-35 L Zoom lens.,0.0,0.0
very good,1.0,1.0
Good and trusted seller,1.0,1.0
"I just followed the directions provided, and voila.",0.0,0.0
"The box had 6 containers within: 2 boxes for the reflector hoods, 2 for the tripods & 2 cylinders for the bulbs.",0.0,0.0
You could see what looked like watermarks in the screen when it did turn on one time to a white screen.,0.0,0.0
The stand that comes with the monitor does adjust in tilt but height is also important.,1.0,1.0
My cat loved this product.,1.0,1.0
I get sore around my ears but I think that is due to the face that I wear glasses.,0.0,1.0
"I am slightly dissatisfied with the labels because I thought they would be reusable ""chalkboard"" style labels, but they are not.",0.0,0.0
"This gun is good but you should be better off taking off the iron sights and placing an acog, red dot, ect.",0.0,0.0
totally loved sitting at her own real vanity.,1.0,1.0
This is an adorable little bed and SO SOFT!,1.0,1.0
Nice addition to my fat chef's kitchen.,1.0,1.0
30/30 ammo at 50 yds damaged the paddles badly.,1.0,1.0
"The SSD is working great (so far), I think it delivers in terms of performance/capacity vs price.",1.0,1.0
The rest of the body is in good shape.,1.0,1.0
I'm glad that  ordered these; they are cute and everything that I need to put in these drawers fits perfectly!,1.0,1.0
The whole packaging thing seems silly to provide a key number.,1.0,1.0
The holster is comfortable and secure.,1.0,1.0
"Sharp and reliable, and actually look quite nice.",1.0,1.0
Clips should be here in 7-10 business days.,0.0,0.0
Would definitely recommend the Aerolatte Deluxe Edition Milk Frother with Stand.,1.0,1.0
Lovely aroma.,1.0,1.0
I did not know what to expect since I never heard of or tried these before.,0.0,0.0
I average roughly 118 MB/s write speeds and 220 MB/s read speeds consistently and couldn't be happier.,0.0,0.0
Good price.,1.0,1.0
The thing I love most of all is that the cleaning is so easy!,1.0,1.0
The difference is not subtle where only an audiophile can decern the difference....everyone in the family has noticed it.,1.0,1.0
Not happy with this cage at all.,1.0,1.0
Got it to hook up PS4 in truck works great,1.0,1.0
I finally found the right mattress pad for me.,1.0,1.0
Easy assembly and lots of room,1.0,1.0
Weird that a benign little thing like a computer mount could make a difference.,1.0,1.0
Take a morning walk with the dog...good for 10-15.ideas on film.,0.0,0.0
They look great and my kids love them.,1.0,1.0
The only reason I did not give it a 5 is because it is a little hard to fold up.,1.0,0.0
"Fortunately, most VR titles for the Rift (or even the Vive, for that matter) don't require full 360 yet, but mark my words: it is coming.",,0.0
My dental hygienist recommended this purchase.,0.0,0.0
I had plenty of cable left after all that.,0.0,0.0
I've been using this product for several months and have grown to depend heavily upon it to awake me.,0.0,0.0
IT can also be used on DX bodies.,0.0,0.0
Not great.,1.0,1.0
I haven't tried the dry-erase feature of the white part.,0.0,0.0
"Sweatproof = *****
So far so good.",1.0,1.0
"So this is a nice thing, to have colored cables.",1.0,1.0
I'm very glad I purchased this.,1.0,1.0
Cuts back on grease splatter  it is sturdy.,0.0,0.0
Exactly the right number and the color blends with my decor.,0.0,0.0
"The doll was beautiful with lovely detail, though I did return her because she looked more creepy than cute.",1.0,1.0
doesnt fit perfectly on most of lodges curves but works well and is built to last so four stars,0.0,0.0
We bought a new stereo for our 99 Pathfinder and were about to cut out the old OEM harness before looking online for a female adapter.,0.0,0.0
My review will only be about live viewing the NetCam.,1.0,1.0
Please fix this Amazon!!!,0.0,0.0
noise wins.,0.0,0.0
They are superior.,1.0,1.0
I'm an ameteur photographer and was super happy with the pictures I was able to capture with this so far.,1.0,1.0
"I have to say, its wonderful.",1.0,1.0
"It was time to get an updated tag for my cat, and when I saw this one I thought it was perfect.",1.0,1.0
"They are easy to open and pour from; the lid could be tough to pull off, but someone else on here posted that the way to remove the lid is to open the spout, stick a finger in and pull.",1.0,1.0
"Reusable, helps reduce waste.",0.0,0.0
"Not much to say really, it's a fan and it blows air",0.0,0.0
I'm zesting every lemon I buy even if I don't need the zest...just put it in something to jazz it up a bit.,0.0,0.0
I've used it for about 4 days now and have noticed a slight improvement in flexibility.,0.0,0.0
The back and front of the case is a clear protective screen and the front one is a 5 times harness material.,0.0,0.0
I wear 30x30 usually and these were massive.,1.0,1.0
"Otherwise they are really nice, and good color, and quality.",1.0,1.0
It comes in a carrying case so you can lug it around with you easily.,1.0,1.0
Worked well for me.,0.0,0.0
It is completely impossible to empty the bucket of this thing without spilling all over.,1.0,1.0
"Great box, pulled decent cards from the packs.",1.0,1.0
"Great pack for the money, only weird thing was the ones that are left dry up and you can't use them!",1.0,1.0
My wrist and fore arm where getting achy with my normal mouse.,1.0,1.0
That's not good considering these are probably stamped by the thousands so a lot of other people might get wrong sized parts.,1.0,1.0
Simply attach this travel pouch around your waist and adjust the waist band to your liking.,0.0,0.0
Couldn't figure out how to make it heat up.,0.0,0.0
worked good,1.0,1.0
Perfect for my moroccan themed living room,1.0,1.0
"And the five year warranty, where the comparable Western Digital only offered three years, gave me confidence to try Seagate again.",0.0,0.0
It works but $5 for a solid piece of plastic is overpriced in my opinion.,0.0,0.0
It is a beautiful design (I got mine with a purple color) which adds a personal touch.,1.0,1.0
Fit perfect,1.0,1.0
"Pros:
- The case itself is perfect.",1.0,1.0
"There are fan mounts on top of the case, however, they are too close to the motherboard tray to be of use for anyone, so far as I can tell.",1.0,1.0
These ice pop makers are fantastic!,1.0,1.0
I have a pair of $400 kasho shears.,0.0,0.0
"My cats both like this toy, even the older guy who is usually finicky, I think he digs the catnip.",0.0,1.0
The second one arrived in decent time and works fine.,0.0,0.0
My wife got me this for Christmas.,0.0,0.0
worked perfect and fast shipping.great product.very happy customer.,1.0,1.0
Very good quality.,1.0,1.0
Incredibly soft on my face!,0.0,0.0
"Just a little crouching down to look along the tube, but I can look through it from further back so I don't have to squint through the small finder scope opening.",0.0,0.0
The best bike shorts for the money.,0.0,0.0
Androids can take advantage of the pause/play button.,0.0,0.0
Well made.,0.0,0.0
Pretty neat little gizmo.,1.0,1.0
Keeping it a minimum of two feet away from the phone seems to help.,0.0,0.0
Very nice product.,1.0,1.0
Two of my dogs favorie things wrapped into one treat.,0.0,0.0
I wonder if they changed manufactures maybe?,0.0,0.0
I only wanted it for my linoleum floors but it doesn't even work on those.,1.0,1.0
"The metal accents half way up the handle and inserts (used to hang the tools if desired) on these heat up FAST if left on a stove top or while allowing the utensil to sit inside a hot pot, even for a short while, causing the red material to ""smear"" slightly, to the point of causing a burn on my hand.",0.0,0.0
I can be better one's at Walmart for less.,0.0,0.0
"This one, designed specifically for cat hair, just doesn't work as well as the original.",1.0,1.0
"perfect my area of area rugs, like cordless, only thing is sometimes hard to remove canister and pet hair can get stuck in the cylinder, but no big deal, works great",1.0,1.0
Great price and fast shipping,1.0,1.0
"I know that both headsets are working on wireless systems, but until those are realities, this is a solid win for the Oculus Rift.",0.0,0.0
Been installed for a month now and zero issues with the memory!,0.0,0.0
I have suffered with wireless connection issues constantly through the two years.,0.0,0.0
It allows you to unhook the tube from the bladder without spilling water all over the place (because it automatically seals the opening when you remove the tube).,0.0,0.0
big ass hooks!,0.0,0.0
I am a seamstress so I know quality and value  when I see it.,0.0,0.0
It lasted for 3 years.,0.0,0.0
"Here is my experience:

Things I Like:
-The case fits properly and all of the cutouts line up properly with the iPad.",0.0,0.0
"It has beautiful house shoes, a bandage on eyes.",1.0,1.0
Half the price of the bike stealer shops here.,0.0,0.0
I got this knife used.,0.0,0.0
Over time you will eventually remember which button does what (and when) but using the clock may be a bit frustrating until then.,1.0,1.0
My dog tried to rub it off a few times on the fence but hated the sound that came out and stopped.,0.0,0.0
"so i tried to transfer my ipad to it, ended up getting stuck and wiped my ipad info.",0.0,0.0
I'm not sure if she appreciates this as much as I think she does.,,1.0
"Quality: this was a well though out design as far as functionality, style, and ease of use.",1.0,1.0
Be prepared.,0.0,0.0
"Super fast transfer, lots of different options for card types.",1.0,1.0
I don't know how it's suppose to work but the divider did not work for me I just don't use it now.,0.0,0.0
It ONLY measures distance in miles.,1.0,1.0
Great light great price,1.0,1.0
I was very surprised to see that a Bombilla was for sale.,1.0,1.0
It lasted 4 hours.,0.0,0.0
Some of the led's didn't light.,1.0,1.0
Does what it is supposed to do.,0.0,0.0
My daughter loves this thing!,0.0,0.0
"Later I contacted Amazon , and I must say that they are the most "" customer centric company "" ever, Amazon rep replied back within 15-20 mins with different solutions and asked which solution satisfy me the most.",0.0,0.0
Comfortably encases the smallest sprigs and keeps them from floating.,1.0,1.0
"I  also have the neatfreak 5632-E 16 Compartment Shoe Organizer, but for the same price, this one provides extra storage space and is not that much larger.",0.0,0.0
I wish I had purchased this one originally and used the divider rather than paying for two kennels.,1.0,1.0
Bargain for the security.,0.0,0.0
Heck yeah.,0.0,0.0
Really cute!,1.0,1.0
I couldn't have been more happy when it came in!,1.0,1.0
I'm so glad that it adjusts for daylight savings time and I don't have to remember it anymore.,1.0,1.0
On the same day of the return the owner/manufacturer personally contacted me telephonically to express his sincere concerns.,0.0,0.0
"He has grown up with robots, has built and programmed robots and had them judged.",0.0,0.0
Good item.,1.0,1.0
They sleep on it every time.,0.0,0.0
Great value for these.,1.0,1.0
"Great product, great price.",1.0,1.0
Bought in July 2017.,0.0,0.0
"Great product,  customer service was excellent from the seller.",1.0,1.0
Is within my budget?,0.0,0.0
I opened it to check it out and it had a nice smooth finish and color.,1.0,1.0
It has now replaced my big pot for most things.,0.0,0.0
But don't expect any audio bells and whistles.,0.0,0.0
Got this for my toddler obsessed with dogs!,1.0,1.0
Always works and a good price,1.0,1.0
This may be a personal preference and likely may not bother others.,1.0,1.0
I owned this same deep dryer years ago and left it behind in a move.,0.0,0.0
"I have it placed near my console gaming hdtv, and my Shadow Cat always attacks it when he wants my attention.",0.0,0.0
"The part itself seems OK, but I haven't gotten to fit properly yet.",0.0,0.0
I bought a cheap $6.00 no name dongle for my classroom.,1.0,1.0
ORIGINAL REVIEW - I've had this modem/router for over a year and I HATE it with a PASSION!!,1.0,1.0
"I already own the squeezebox boom which I thought was cumbersome to use and had plenty of lock-ups, etc.",1.0,1.0
"I think clear is the way to go, at least for me.",0.0,1.0
It's nice..,1.0,1.0
"It's not super sharp out of the box but I will need to learn how to sharpen it correctly anyway, so better to start now.",1.0,1.0
"great product, great quality, very good price and fast ship following order  the paninis are wonderful",1.0,1.0
This is very important.,1.0,1.0
I had enough and had to try the Gentle leader after hearing so many good things about it.,1.0,1.0
They are a bit stinky but not too bad.,1.0,1.0
Sometimes the host ports have obstructions that prevent you from plugging in a slide-out connector like this.,0.0,0.0
It arrived on time and in perfect condition.,1.0,1.0
I even return the product if it's defective or low quality as I'm paying my own money to purchase these products.,1.0,1.0
